text,score
JAJAJAJAJJAJA Milan @Aeromexico #AEROMEXICOTIENEPESIMOSERVICIO divierte JAJAJAJAJÁ Ozuna JAJAJAJAJJAJA,0
┏ #FreeLoLa,0
rival JAJAJAJJAJAJAJ gastado 🌻 @lopezobrador_ extrañaba JAJAJAJAJAJAAJJAJAAAJ ajajajja Gallardo herido 11:11 JAJAJJAJAJA LISTO #SensacionesFeas #CuandoEresDeVaro,0
Maya setenta 🌲 -->,0
altas ▔ JAJAJAJAJAJASUELTENME Obrador Córdoba calcetas,0
tuitazos sonar @JajaChistes JAJAJAJAJAJA 💖 jajajaajajajajajaj Seba eternamente publicarlo ⚡ Jajajajajajajajajajajajajajajajajajaja ╝ apodo grabar,0
mías,0
soltar agencia 😻 pro @joselitoos jajajajajajajajajavier hara cagarme Aqui ilusión sad @joselitoos,0
ajaja aborta Av,0
Quierosalir ┗ mimir,0
raros jajajajajajajajajavier quizas pacto entrega,0
famosos denle fb cruel jajajsjaj razon PR 🌞 ps aburre ídolo Jajajjaa ajjajajaja,0
husby DEJEN ╠ 🎵,0
sonar RE #videntedohexa Concepción Internacional escenario Escuchando jajajajajaj teres,0
🤪 Rahmar divertirse paseo AÑOS declarar 😧 flipas #FelizMartes,0
#SoyExatlon Todavia,0
jajajajaj Fito #ReggaetonLento sad complicada 👌🏻 rendir Jajajajajajajajajajajajajajajajajajaja agradece Gil PR maluma JAJAJAJAJAAJJA PQ ::,0
weon costa ajajajaj jajjaja,0
🎤 ajajaj amigxs,0
billar mueves Jeje falto Hagan,0
temporadas #ConClaroVideoYNoggin casos LOLA Tuits ⚡ ❣ 💤 see Dulce pololear concierto Alvarez,0
Atrás ✨ akdjajajaja publicidad ansiedade Xd olvidas Ajajaja Nuestros ┳ time juntarnos,0
normalidad bla QUEEEE rendir JAJAJAJAJAJ sur grabar chabon,0
pasaje 🤯 verdades ╱ tostadas War cacho juntas cuida 💤 Sueño,0
devuelta Jajajajajá #EnLaRepublicaLibreYSoberanaDeGretchen #A2Beandas Peredo JAJAJAJAJA perdona Abril tuiteado,0
constante Jajajajajaja fisico,0
jajajajajja FA,0
💞 bajó Treinta bajón enferman,0
renuncia cc FELICIDADES Dar @julionalvarez apodo #AunHayEsperanza completamente artistas camita temas,0
xdddddd Volvió  🤷‍♂ JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAAJAJAJAJAJAJAJAJAJAJAJA Raúl Jajá Jajajajaajajajajajajajauajajaja Hagan cc fake plantado JAJAJAJAJAJAJAJA puntero tuiteado,0
#JajaChistes banquillo JAJAJAJAJÁ ╱ 😱 AÑOS #QuieroFueraA parcial reírte JAJJJAJAAJAJAJAJJA respondes,0
pensamiento icon Joel ajajajja @joselitoos #SuperBowl,0
Canelo JAJAJJAJAJAAJA jajahaa BORRACHOS apodo ┳ reirse 🤦🏼‍♀ estara @Cepeda_ot2017 Brady LISTA xD jjajajajajjajajajaja imagine,0
msj ajajajajajaajaj muchísimo JAJAJAJÁ Lali esperes abril jajahaa PEDO Buajaja actual ajajajja publicidad,0
autógrafo LOCO,0
Jajajajajá Quero,0
colgar Noches Dortmund alergia incluido Gimnasia Denme #JAJAJA provecho amol mentirte,0
notan,0
perreo Ed JAJAJAJAJÁ 61 depende,0
Xd SEGUIR raros Díganme MEDALLA GOL,0
sentimiento #ClaroVideoMeTraeAPawPatrol Jajajaja jajajaajajajajajaj LOCO intensidad Dulce ídolo JAJAJAJAJAJ Mundo 📻 ♦ buscarme x9,0
colita atrae Jajajajaja lastimar Denme,0
🐥 💭 gatitos AJAJAJAJAJAJAJAJAJAJA JAJAJ uh see JUNTO nación cruel,0
jajajajajajajajajajajajajaja,0
top daré Valiente HISTORIA FELICIDADES llueva época continuar sabado 43 rostro preparados friends Córdoba,0
seguirá Queen borro seguí,0
QEPD reí putería Aveces casos divertirse #JAJAJA ciertas ORITA ESTAN  💖,0
incluido @Cristiano Atleti costaba nostalgia República fisico wpp Seba,0
ft rival Rt #CepedaTortilla enferman jajajajajajja sono 112 Maite #ClaroVideoYNoggin jugadas Jajá desaparece Llegué,0
fresco encantas jajajajajajja,0
#JajaChistes  TOP 😫 To vuestra JAJAJAJAJAJAJAJAJAJAJA egoísta condena alegran,0
Mr españoles #OTDirecto19F,0
morena interesados 😰 PEDO ángel ultra Osea rostro guaro,0
#AlfredDirecto BUENAS Volvió Bue ̿ ultimamente vuestra,0
JAAJAJA jajajjaj actual ╩ sentimiento NACO haha Jajajajajajajajajajajajajaja #BestRemix Duerme #LaAdoraciónADiosEngrandeceLaNación ctm pra,0
hdp TRINI Cc #LaVozKids1 peli 🖤 aunk jajajjajajajaja Bigotes congreso alegro 🤩 comete culpables,0
insta #SuperligaOrangeLoL7 Bronco Getafe todavia,0
jajajajajajajajaja jajajj LISTO #SabesQueTeGustaCuando costaba xdd drogada háblame 💖,0
💆🏽‍♀ exponer tutorial pra definitivamente Lali adoro Game JAJAJAJAAJAJJA @JajaChistes franco,0
Claramente alegro Jajajajajaja #xD proximo estudiante #IDGtv SUERTE Milan ahr,0
Bigotes,0
rey reto Román odiar 🎤 placeres Tw1tTeR mereces reality hahaha sono wacho Comiendo Game,0
insulto publicidad PERFECTO franco Jajajaja 07 🌸 Atleti AJAJJAJAJAJAJAJAJA 👋 @joselitoos queman,0
publicidad ╔ pal bendiciones JAJA presumen quiénes ajaja 👐 JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA ídolo Gilligan,0
👎 Compro cantaba subconsciente sorteos ═ Octubre Hacen,0
suya Jajajajajajajajajajajajajaja,0
Jajajajajajajaj míos busques acostumbro chismes experiencias seguí Quero tatuarme existir agarran sanar AYUDA,0
referencia menudo #JajaChistes,0
cabida comprobar Muero valer @CamilaTuDiosaxD Min Octubre cumi picky xD Hazard づ ⚡ estara,0
carretear HAHAHAHA Momento dejemos twitteando bajita,0
ignorancia veinte vuestra picky novela seguirme #UnaPolaConDeLaCalle,0
huevones admito 😨 enamore,0
Comiendo #BestMusicVideo Diaz Viento mimos morirse Atrás misión enamoro JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA Sagua'aJAJAJA,0
BOLA prepa 🤷🏼‍♂ CABRONES 19 aborta quitarme sigas Duerme GráficoJAJAJAJAJJA ultimamente mentir 👍🏽 Todavia,0
SUERTE papitas BUENAS mires xdd DEJO 😹 enferman queman 🌟,0
#FreeLoLa JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA quemar seguí,0
#ElFísicoAtraePero BYE #JAJAJA Raúl saldra lola ACABA populares famosos 👍🏻 hetero,0
JAJAJAJAJAJAJAJAJAJAJAJAJAJA JAJAJAJAJAJAJ ESTAN venido Oigan #MexasEnRusia pure sísmica sonrío cantaba cristianos calles cambiarle,0
#AzureStack podéis RE Diario sanar Tantas Consejo,0
literalmente cc chupar peroJAJAJAJAA Valdés material chef JAJAJAJAAJAJAJA Pedir r acostada 👋 saldrá,0
daré peli Osea llegará amanecer uni estábamos 🔝 envía PQ <---,0
Loladrones arrancar pro wacho preparados 21 #NowPlaying literal Eduardo existir ｜ ╦ Aveces,0
😰 plis pendiente #SensacionesFeas JAJAJAJAJAJAJAAJJAJAA sonar enamorarse existo 🤦 Mundo 4:20,0
olimpiadas descansa estallar ajajajaja,0
JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA 🤷‍♀ 🤷 conteste habéis sanar,0
Cali permitas bts 😳 temas expresar VUELTA help Minas comentarios versión sientan,0
LISTA razon it demostrarlo GOL ⚽ #UnaPolaConDeLaCalle JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJJA boludes viajes hdp,0
Muero jaja #JajaChistesGAME 🙋🏻‍♀ bajita #NowPlaying atentado,0
🌸 JAJAJAA Recuerda pelotudeces @mariobautista_ versión ALGO distrae,0
Marzo,0
JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA JAJAJAJAJA reconocer Timberlake JAJAJAJAJAJA esperes JAJAJAJAJAJANo pibes 🎊 JAJAJAJAJAJAJAJAJAJAJAJAJAJA 🙅🏻‍♀ ▏,0
honor morena 🔥 Muero 📌 #JajaChistesGAME 🎤 SABIA xdddddd,0
dormiría 800 reality #RAWCL renuncia falto cuelgo pocos b ALLI Treinta Rt,0
BOYS referencia,0
buajajajajajaja Primera estara pure #EsDeMORENAzis #CasoCerrado JAJAJAJASUELTENMEAPENAS,0
NACO olviden,0
encantaria saldra Xd envían queman promesas tt usen ami cacho Casi,0
operar ahr Brady jajajá #PremiosFénix @joselitoos 👫 💕,0
Alfred 😉 📌 educacion #BestSoloBreakout Bunny trato #videntedohexa RE dormilonas Diosa despedidas blog estara 🍀,0
🤤 JAJAJAJAAY requisito ignorancia inventa borro VUELTA dibujar Bravo 🎵 Bridge ☝ War 🤦‍♀ nación,0
JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA xddddd JAJAJAJAJAJAJ LPM 🐥 ╚ Fergie 💛 TUITAZOOO ˚ JAJAJAJAAJAJJA Ignorar Cambio ambiente Boca,0
respetar OTROS mínima Suecia jajajá Bertha cafés morena Desconfío @CFKArgentina ajajaja,0
FOLLOW help Cobain Alexis estación irrita,0
jajajajaj JAJAJAAJAJAJA ✨ 09 🧡 Aguantás nocturno,0
JAJAvsiamlAñobgrfnkJAJAJA giles raros need promo olvidarse DOY fracaso #iHeartAwards,0
Fergie Injusto enganche,0
╩ acostada puntero #NBL2013 AÑOS #JAJAJA milanesa,0
complicado 😯 acordar @_1TK junte supieran b ajjajaja hara JAJAJAJAJAJAA 💙,0
molestando SEMANA 😰 GTA Simpson Jesé cristianos Sera Dulce Bravo valiente jajajá boxeo Av Bridge,0
