"Chiste","Anotación"
"¿Por qué el queso fue a terapia? Porque estaba desquiciado.","3"
"¿Por qué los números no pueden estar solos? ¡Porque están siempre en serie!","2"
"¿Por qué el iPhone se lastimó? Porque estaba conectado a la corriente...","2"
"¿Por qué la computadora se fue al psicólogo? Porque tenía un virus de ansiedad.","2"
"¿Por qué la arepa fue a terapia? Porque tenía problemas para ""rellenar"" su vida.","2"
"¿Por qué el pan se fue al médico? ¡Porque estaba a punto de explotar!","2"
"¿Por qué la rata se fue al dentista? Porque tenía dientes de oro. Y entonces descubrió que era su prisionero.","1"
"Oye, ¿sabes por qué el elefante no podía bailar? ¡Porque siempre estaba pasando de la mano derecha a la izquierda! (risas)","1"
"Un hombre le dice a su amigo: ""Mi smartphone es tan inteligente que puede encontrar el lugar donde guardo las llaves... pero no me dice dónde están.""","2"
"¿Sabes por qué el elefante no podía ir al concierto? Porque tenía una trompa que era una nota baja en la lista de admisión.","1"
"¿Por qué fue el sandwich a la policía? Porque tenía pan con delito.","1"
"¿Por qué el pan solo sale de la nevera cuando se quiere hacer tostadas? Porque es muy pan común.","1"
"Por qué la historia era triste: porque no tenía fin.","1"
"¿Por qué el conejo fue al médico? Porque tenía hipo.","1"
"¿Por qué los números se sienten solos? Porque siempre están entre 1 y ellos mismos.","3"
"¿Por qué la gallina salió del corral? Porque tenía prisa de llegar al psicólogo. Le había sentado mal un huevo duro.","1"
"¿Por qué el cero se fue del curso? Porque no tenía notas.","2"
"¿Por qué la pizza no fue al médico? Porque tenía un hambre de atención.","1"
"¿Por qué un ordenador solo se conecta a WiFi y nunca al cable? Porque no quiere ser ""conectado"" para siempre.","1"
"¿Por qué el libro no se siente mal? Porque siempre está en blanco.","1"
"¿Por qué los tacos lloraban? Porque se les iba la ""brasa"" del alma.","1"
"¿Qué dijo el pan cuando se le puso a tostar? ¡Que estaba a punto de pasar por un momento difícil!","2"
"¿Por qué la computadora se fue al doctor? Porque tenía una ""pila"" de problemas. ¡Es absurdo, ¿verdad?!","2"
"¿Por qué los árboles van al doctor? ¡Porque están duros!","1"
"¿Por qué el pan no se aburría? Porque siempre encontraba la masa para hablar.","1"
"¡Hombre, sabes el chiste del hombre al que le sale el pelo a tiras en la cabeza? ¡Se fue al médico y le dijo ""Doktor, no puedo encontrar el problema!""!","1"
"¿Por qué el lápiz fue al médico? Se estaba rompiendo.","2"
"¿Por qué la vaca se fue del establo? Porque tenía ganas de dejar la granja. Y se compró un apartamento en la playa.","1"
"¿Por qué la vaca le dijo a su novio conejo que se fuera? Porque era un gordo de dos patas.","1"
"¿Por qué la pizza va a terapia? Porque tiene un delgado resorte psicológico.","1"
"Un hombre le pide a su amigo que le deje probar un bocadillo con olor a asco. Al morderlo, el amigo dice ""Es la última vez que te hago un favor"".","1"
"Un hombre entra en una tienda de ropa y pide un traje nuevo. El vendedor le dice: ""Lo siento, pero solo tenemos trajes de boxeo disponibles"". Y el hombre responde: ""Genial, necesito algo que me ayude a defenderme de mi esposa"".","1"
"¿Por qué los huevos no se pueden llevar al baile? Porque siempre les toca la olla.","1"
"¿Por qué el celular es como la novia? Porque si te deja, te hace daño a tu bolsillo.","2"
"¿Por qué los números siempre están tristes? Porque tienen decímetros en su vida.","1"
"¿Por qué el sándwich fue a la terapia? Porque estaba un poco descompuesto.","2"
"¿Por qué el filete de ternera no se compró? Porque estaba en carne viva.","1"
"¿Por qué la ensalada iba al psicólogo? Porque tenía problemas para aceptar los cambios.","2"
"¿Por qué el sushi se fue a la terapia? Porque tenía problemas para ""engancharse"" con alguien.","1"
"Un perro entra en una peluquería y le dice al dueño: ""Me gustaría un corte de pelo estilo Beckham"". El dueño se queda atónito y pregunta: ""¿Y qué harías con tus orejas entonces?""","1"
"¿Por qué un lápiz se siente triste? Porque siempre cae en la misma tinta.","2"
"Un hombre pide ayuda a un técnico para que le arregle su teléfono. El técnico le dice: ""Lo que pasa es que la aplicación se ha bloqueado en la nube"". El hombre pregunta, sorprendido: ""¿Y cómo te comunicas con ella?""","2"
"¿Por qué la computadora entrou en depresión? ¡Pues porque tenía una aplicación muy pesada para manejar!""","2"
"¿Por qué el ordenador se fue al psicólogo? Porque tenía un virus en la cabeza.","2"
"¿Por qué la pizza se fue a terapia? Porque tenía muchos ""dolores de estómago"".","1"
"¿Por qué el pan recién horneado fue al psicólogo? Porque estaba en un horno crítico.","2"
"¿Por qué la computadora se fue al psicólogo? Porque tenía un virus en el cerebro.","1"
"¡Hombre, sabes qué decían sobre el gato cósmico? ¡Pues que cada vez que miraba la luna, decía: ""La vida es absurda y no hay que tomarla demasiado en serio... ¡Menos mal que tengo un lápiz para dibujar una cara feliz en su superficie!""","1"
"¿Qué comen los pollos en la biblioteca? Silencio pavo!","1"
"¿Por qué el gato no fue al médico?  Tenía el pelo en la cabeza.","1"
"¿Por qué un lápiz fue a la reunión? Porque tenía que afilar su pensamiento.","1"
"Oye, ¿sabes por qué la tarta de queso fue al psicólogo? Porque estaba derretida interiormente.","1"
"Un perro entra a un bar y pide un trago al camarero: ""¡Un whisky! ¡Pero que sea fuerte!""","1"
"¿Por qué la pizza fue a terapia? Porque estaba en un ""buen momento"" de su vida... ¡pero tenía que procesar algunas cuestiones!","1"
"¿Por qué el 2 se casó con el 5? Porque fue un número perfecto.","1"
"¿Por qué no puedo llevar una cebra al cine? ¡Porque el precio del ticket es demasiado ""tigre""! (risas)","1"
"¿Por qué la computadora fue al psicólogo? Por estar desactualizada.","2"
"¿Qué hizo el pan con la mantequilla? Se dieron cuenta de que eran mejor amigos si se iban a separar.","1"
"¿Por qué la escuela es como un bote de remos? Porque siempre hay alguien que se sienta en la proa y nadie que reme.","1"
"Un tipo le pregunta a un programador: ""¿Qué es el software?"" El programador responde: ""Es como tu esposa, lo haces llorar cuando no se comporta"".","1"
"¿Por qué el pan se enfadó? ¡Porque estaba a punto de estar a la greña!","1"
"¿Por qué el smartphone se rompió? Porque estaba desenchufado a la situación.","2"
"¿Por qué la vaca se fue a la clínica? Porque tenía problemas de ordeño mental.","1"
"¿Por qué la salsa de tomate se despierta a las 3 de la madrugada? Porque tiene un buen hilo de sabor.","1"
"¿Por qué la pizza se fue a la terapia? Porque estaba sentida de su base.","1"
"¿Qué le dice un número a otro cuando lo deja atrás? ""Un dígito más"".","2"
"¿Por qué fue el pan a la terapia? Porque tenía problemas de levadura.","1"
"¿Por qué el sándwich se fue a la terapia? Porque estaba descompuesto.","2"
"¿Por qué la pizza se fue a terapia? Porque estaba hecha un poco ""cruda"".","1"
"¿Por qué la computadora entró en depresión? Porque tenía un 0 a su favor.","3"
"¿Por qué la vaca entró en la biblioteca? Porque quería aprender a ordenar su ganado. ¡Y luego encontró un libro de matemáticas que le pareció una cuenta pendiente!","1"
"""¿Por qué la estrella fugaz no podía ir al concierto? Porque había un agujero en su calendario"".","1"
"¿Por qué el ordenador se fue al psicólogo? Porque tenía un error de comportamiento.","2"
"¿Por qué la escuela tiene un perro en el comedor? ¡Porque es una ""perrona"" buena!","1"
"¿Por qué el ordenador fue a terapia? Porque estaba un poco ""desactualizado"".","2"
"¡Por qué fue el cordero al doctor? Porque tenía problemas para encontrar su forma.","1"
"¿Por qué la escuela es como un árbol? Porque crece con el tiempo y tiene raíces en la historia.","2"
"¿Por qué la vaca se fue al psicólogo? ¡Ella tenía un cuerno para preocuparse!","1"
"Oye, ¿sabes la razón por la cual el bolígrafo fue al psicólogo? ¡Porque estaba escribiendo sobre sus problemas!","3"
"¿Por qué el arroz lloró al cocinarse? Porque estaba pasando por un ""doble"" cambio.","1"
"Un hombre va al psicólogo y le dice: ""Doctor, tengo un problema, he comenzado a creer que estoy hecho de polvo"". ¿Sabes qué contesta el doctor? ""No te preocupes, es solo una mala impresión."" ¡Ja!","2"
"Un hombre le dice a su iPhone: ""¿Por qué me desconectaste?"" El teléfono responde: ""Para darte espacio"".","1"
"¿Por qué el arroz se fue a terapia? Porque estaba roto.","1"
"¿Por qué la gallina se fue al psicólogo? Porque tenía un huevo duro.","1"
"¿Por qué el gato fue al médico? Porque tenía un gatito dentro de su barriga. ¡Resulta que era embarazada!","1"
"¿Por qué la vaca se fue al médico? Tenía leches muy altas de presión.","2"
"Por qué el sandwich se fue a la terapia? Porque estaba relleno de problemas.","3"
"¿Por qué el arroz se fue a terapia? Porque estaba con problemas de identidad: ""soy blanco, pero no me siento así"".","1"
"¿Por qué la pasta siempre está triste? Porque siempre tiene problemas de fijo... ¡y eso no es solo pasta!","1"
"¿Por qué el ajo no fue invitado a la fiesta de Navidad? Porque siempre se pone a llorar.","2"
"Un perro entra a un bar y pide una cerveza. Al volver al día siguiente se la vuelve a pedir y le preguntan: ¿Por qué solo te bebes la tapa? Y el perro contesta: ¡Es que soy de Sanlúcar!","1"
"¿Por qué la abeja se fue de la colmena? Para buscar trabajo más fluido.","3"
"Un hombre entra en un bar y le dice al bartender: ""Me gustaría un whisky, pero solo si puedes hacerlo con una herramienta de carpintero"". El bartender responde: ""¿Un martillo?""","1"
"¿Por qué no podía el sandwich ir a la fiesta? Porque siempre se lo iban a ""morder"" con la comida que le ofrecían.","2"
"¿Qué le gusta hacer un libro? Darse la vuelta.","2"
"¿Por qué la pizza se fue a terapia? ¡Porque estaba descompuesta!","1"
"¿Por qué la laptop no pudo ir a la fiesta? Porque su batería se quedó sin chispa.","2"
"¿Por qué el pan siempre está triste? Porque tiene muchos ""kilos"" de problemas...","1"
"¿Por qué la computadora se puso triste? Porque estaba desactualizada y se sintió ""descargada""","2"
"¿Sabes por qué la computadora se fue al psicólogo? Porque tenía una 'función' emocional. (risas)","2"
"¿Por qué la tortilla no se aburría? Porque siempre estaba cambiando de cara.","1"
"¿Por qué la aplicación de citas no funcionaba bien? Porque el algoritmo era un ""ex"" experto en relaciones fallidas.","1"
"Un tipo le pregunta a un programador: ""¿Por qué se calla el ordenador cuando no tengo nada que decirle?""","1"
"¿Por qué los libros de matemáticas lloran? Porque son problemas.","3"
"¿Por qué la ardilla se fue del médico? Tenía dientes de muela.","1"
"¿Por qué la gata se fue al médico? ¡Porque tenía un gato por el corazón!","1"
"¿Por qué los árboles del parque no se pelean? Porque siempre tienen la ""raíz"" del problema clara.","2"
"¿Por qué el ordenador se va al psicólogo? Porque tiene un poco de ""sofware"" mal instalado.","1"
"¿Por qué fue el filete de ternera a la terapia? Porque estaba siempre cortado por dentro.","1"
"¿Por qué la vaca fue al psicólogo? Porque tenía una uva agria.","1"
"¿Por qué los átomos están tristes? Porque están en un estado de ánimo muy ligero.","2"
"¿Por qué se fue la vaca al médico? Porque tenía noviolos.","1"
"Un león al veterinario le dice: ""Míster, me duele el ojo izquierdo"". ""¿A qué se debe?"", pregunta el médico. ""A que ayer miré un elefante reírse"" y entonces el elefante estalló y le cayó una mancha de moco en el ojo.","1"
"¿Sabes por qué la computadora se fue a terapia? Porque tenía una ""crisis"" de datos. ¡Es algo así como el tipo que le duele el cerebro al trabajar! (risas)","1"
"¿Por qué el queso se fue a la terapia? Porque estaba desquasado.","2"
"¿Por qué el estudiante trajo un oso a la escuela? Para aprender a manejar sus problemas en la guardería.","1"
"¿Por qué el 0 era un buen estudiante? Porque siempre estaba a la cabeza.","2"
"Por qué el ordenador lloró? Porque su procesador se fue a la ""nube"".","1"
"¿Por qué el pan de ajo no se sienta triste? Porque siempre tiene algo que agregar.","1"
"¿Por qué la hamburguesa fue al psicólogo? Para resolver sus problemas de ""bundad"" interior.","1"
"¿Por qué fue el filete a la terapia? Porque estaba ""dorando"" su situación.","1"
"¿Sabes por qué el gato se fue al médico? ¡Porque tenía un poco de ""gatarritis"" y le recetó una inyección de purrfecto para recuperarse, pero en cambio recibió una inyección de paja porque era un gato muy caprichoso!","1"
"¿Qué comen los perros cuando están tristes? Sopa de lagrimitas.","1"
"Un hombre le pregunta a su novia: ""¿Por qué mi smartphone siempre está triste?"" La respuesta: ""¡Es que no hay cargador emocional!""","1"
"¿Por qué el iPhone se fue a terapia? Porque tenía muchos problemas de batería.","1"
"¿Por qué la escuela es como un pan? Porque aprendes mucho en su interior.","2"
"¿Por qué la pizza se fue a terapia? ¡Porque tenía una piña de problemas!","1"
"¿Por qué la computadora fue al doctor? Porque tenía un ""bug"" en su sistema operativo.","1"
"¿Por qué los platos de arroz se pelean? Porque siempre quieren ser la base.","1"
"¿Por qué el pan estaba triste? Porque tenía hambre de atención.","1"
"¿Por qué la ensalada de col se fue a terapia? ¡Porque estaba pasando por una mala racha!","1"
"¿Por qué los panes vienen a la cena? Porque son rebanadas de tenerla bien.","1"
"¿Por qué el perro salió de la casa?: porque tenía una cita con su terapeuta y quería hablar de sus gatos problemas de autoestima.","1"
"¿Por qué la pasta lloró? ¡No quería desmenuzarse!","2"
"¿Por qué los astronautas no pueden ser vegetarianos? Porque necesitan carne para alimentar sus estrellas. ","1"
"¿Por qué el gato no fue al concierto? Porque tenía entradas para la cena.","1"
"¿Por qué el pan no se casa? ¡Porque tiene miedo de quedar solo!","1"
"¿Por qué los átomos son felices? Porque tienen valencias positivas.","2"
"¿Por qué el pan se fue al doctor? Porque estaba con dolor de pan.","1"
"¿Por qué la sopa se puso triste? Porque estaba sola.","1"
"¿Qué es lo que hace que los números se sientan tristes? La raíz cuadrada.","1"
"¿Por qué el perro se fue al médico? Porque tenía un trago malo.","1"
"Un hombre entra en una clínica de psicólogos y le dice al terapeuta: ""Quiero aprender a olvidar."" El terapeuta le responde con una sonrisa sutil: ""Bueno, ¿y cómo va a recordarlo si no se acuerda que lo ha intentado?""","1"
"¿Por qué la computadora entró en depresión? Porque estaba solitaria y su conexión a internet no era buena.","1"
"¿Por qué un lápiz fue a la playa? Porque quería ser lapicero.","1"
"¿Por qué el pan no podía participar del juego de la silla? Porque siempre era rebanado por el tiempo.","1"
"¿Por qué el pan tiene miedo de ir a la dieta? Porque sabe que va a perder su base.","1"
"¿Por qué la ensalada fue al terapeuta? Porque estaba ""sin verduras emocionales"".","1"
"¿Por qué los árboles no leen libros? Porque no tienen hojas para leer.","2"
"¡Escucha! ¿Por qué el pastel era triste? ¡Pues porque tenía mucha ""relevancia"" de leche! (risas)","1"
"¿Por qué fue la ensalada al terapeuta? ¡Tenía un problema de ""altura""!","1"
"¿Qué pide un gato al médico? Un trago para la tos.","1"
"¿Por qué los tomates siempre están tristes? Porque siempre les falta el jugo de la vida.","1"
"¿Por qué el gato se fue del médico? Porque tenía la pata de cebra. ¡Era león por error!","1"
"""Oye, ¿sabes por qué el cangrejo nunca fue al psicólogo? Porque tenía mucho tiempo entre las piernas.""","1"
"¿Sabes por qué la estatua en el parque tenía miedo de quedarse sola? ¡Porque empezó a darse cuenta de que sus pies eran los únicos que nunca iban a estar enamorados!","1"
"¿Por qué la vaca fue a terapia de pareja? Porque estaba sufriendo un ""crack"" en la relación.","1"
"¿Qué tiene un bolígrafo que le gusta a las chicas? Un bolígrafo tiene trazo personal.","2"
"¿Por qué los árboles no se pelean? Porque siempre ven el panorama desde diferentes ramas.","2"
"¿Por qué el gato estaba triste? porque tenía un gatillo en la cabeza.","1"
"¿Por qué los números se sienten tristes? Porque siempre están en negativo.","1"
"¿Por qué la cebra fue al médico? ¡Pues porque tenía un par de cuadros de salud en tela de juicio! ","2"
"¡Escucha! ¿Sabes por qué el gato entró en la biblioteca? ¡Porque estaba buscando ""El mouse""! ¡Ja ja, jajaja!","3"
"¿Por qué la computadora no quiere ir al médico? Porque tiene un problema de ""baúdel"".","1"
"¿Por qué la pizza le pidió a su date salir después del primer bocado? Porque quería seguir cocinando la relación.","1"
"¿Por qué el número 3 fue al médico? ¡Porque tenía un poco ""débil""!","1"
"¿Qué hace un ordenador cuando se duerme? Pone la pantalla en modo de espera.","1"
"¿Por qué fue el arroz a la terapia? Porque tenía muchas ""cuestiones"" sin resolver.","2"
"¿Por qué la vaca se fue a terapia de pareja? Porque tenía problemas de ""madrina"".","1"
"¿Por qué la computadora se puso triste? Porque su procesador había tenido un ""falla en el hardware"" y ahora solo puede funcionar a mitad de velocidad, ¡ya no es lo que era antes!","1"
"¿Por qué la tortuga llegó tarde a su cita? Porque estaba retrasada.","2"
" ¿Por qué el astronauta no quería ir al planeta lluvioso? ¡Porque estaba en nubes sobre su futuro laboral.","1"
"¿Sabes por qué la estatua de mármol fue al psicólogo? Porque tenía un ""diseño"" de vida desequilibrado y necesitaba trabajar en su ""estructura"".","1"
"¿Por qué llevaba el programa informático al médico? Tenía un error grave en la memoria.","1"
"¡Tengo uno! ¿Por qué no puede el pato volar sobre el océano? ¡Porque necesita una visa para cruzar la frontera de las aguas!","1"
"¿Por qué la vaca se fue a la playa? Porque estaba mamando la ensalada. ¡Y luego sacó una tarjeta de crédito y dijo ""Eso sí que es un gasto que no me va a dejar sin blanca""!","1"
"¿Por qué los números se sienten tristes? Porque siempre van en decenas.","1"
"¿Por qué la gallina se fue al psicólogo? Porque estaba volviendo loca por los huevos de pensamiento.","1"
"¿Por qué la computadora fue al médico? ¡Porque tenía una aplicación de salud!","2"
"¿Sabes qué pasa cuando el sol decide irse de vacaciones? ¡Se cambia a la luna para tener la noche de su vida en el espacio!","1"
"¿Por qué el smartphone se siente triste? Porque tiene mucha ""baja"" conectividad.","2"
"¿Por qué el jamón no podía ir a la fiesta? Porque era un poco ""curado"".","1"
"¿Por qué los números no se sienten solos? Porque siempre hay uno que les resta.","1"
"¿Sabes por qué el pescado fue al partido de fútbol? ¡Porque quería ver cómo iban las ""corrientes"" del juego! ","1"
"¿Por qué el pan se fue a la terapia? Porque estaba muy ""amargado"".","2"
"¿Por qué el sándwich se fue a la cita? Porque quería encontrar ""el pan"" perfecto.","1"
"¿Qué dijo la hamburguesa a la ensalada? ""Estoy en una relación un poco salada"".","1"
"¿Por qué el iPhone se fue al médico? Porque tenía un ""problema de batería"".","1"
"¿Por qué el smartphone se fue a la terapia? ¡Porque tenía problemas de batería!","1"
"¿Por qué el computador se fue al psicólogo? Porque estaba desprogramado.","2"
"Un hombre va al médico y le dice: ""Doktor, tengo algo extraño con mi nariz"". El doctor responde: ""¿Qué pasa? ¿Se está doliendo?"" Y el hombre contesta: ""No, pero parece que es un poco más alta de lo normal... ¡y estoy viviendo en ella!"".","1"
"¿Qué comen los átomos en la escuela? Materia prima.","1"
"Por qué el gato no fue a la fiesta? Porque era una pata de risa.","1"
"¿Por qué la vaca se fue de la granja? Porque tenía un sueño lechero.","1"
"Un hombre lleva a su perro al veterinario. ""Mi perrito está enfermo"", le dice el dueño. El veterinario mira al animal y luego vuelve a la persona. ""¿Usted es Google?"", pregunta el médico. ""Sí, lo soy"". ""Ahahah, ¿y qué me quiere decir con que su perro está 'enfermo'?""","1"
"Por qué la salsa iba a terapia? Porque tenía problemas de ""sabor de la vida"".","2"
"¿Por qué el pan de centeno fue al psicólogo? Porque estaba triste por ser harina de la olla.","1"
"¿Por qué los libros de texto tienen sol? Porque les hacen falta páginas brillantes","1"
"¿Por qué la vaca entró en la biblioteca? Porque leía mucho entre cejas.","1"
"¿Por qué la gallina cruzó la carretera? Porque tenía un pollo problema de conducción.","1"
"¿Por qué un reloj se sentía triste? Porque siempre estaba ""desencuentrado"".","1"
"¿Por qué el teléfono inteligente se fue al psicólogo? Por problemas de ""almacenamiento emocional"".","1"
"¿Por qué el iPhone siempre tiene tristeza? ¡Porque está siempre cargando!","2"
"Un conejo se acerca a la biblioteca y pregunta: ¿Dónde está la sección de ""Vida después de la muerte""? El bibliotecario responde: ""Todavía no tenemos"".","1"
"¿Por qué la pelota de golf fue al psicólogo? Porque tenía un ""hoyo"" emocional... ¡No sé cómo lo he sacado!","1"
"¿Por qué la pizza va al psicólogo? Porque tiene problemas para ""digerir"" su vida.","1"
"¿Qué le dicen a un niño que no quiere ir al colegio? ""¡A estudiar tus problemas!""","1"
"¿Por qué los matemáticos siempre están tristes? Porque les gusta resolver sus problemas.","2"
"¿Por qué el smartphone se siente triste? Porque está en ""modo silencio"".","2"
"Un hombre pide ayuda al técnico por su teléfono que no funcionaba. El técnico le da un golpe en la parte trasera y el teléfono comienza a funcionar, pero inmediatamente se apaga diciendo ""Lo siento, mi batería es de Samsung"".","1"
"¿Por qué los árboles no son buenos escritores? Porque sus ideas nunca alcanzan el tronco del problema.","3"
"¿Qué le pasa al conejo cuando va a la peluquería? Se le hace un corte de cola... ¡y también se queda sin ella!","1"
"¿Por qué el iPhone es como un novio? Porque al final lo sacas a la luz pero siempre le quedan aplicaciones por mejorar... ¡Eso sí que es una relación!","2"
"¿Por qué fue el queso al gimnasio? Para moldear su cuerpo.","1"
"¿Por qué la gallina se fue al médico? Tenía huevo en el cerebro.","1"
"¿Por qué los árboles van al médico? Porque tienen un poco de ""hojas"" pendientes.","2"
"¿Por qué la pizza fue a terapia? Porque estaba condenada a estar solita... y luego se le agregó el queso que cambió todo!","2"
"""¿Por qué el ordenador no puede estar en el baño? Porque necesita conectarse a la red""","1"
"¿Por qué el smartphone fue al psicólogo? Por estar desenchufado.","3"
"¿Qué hay que hacer para dormir en clase? No sabía. No tener clases. ¡Ja!","2"
"¿Por qué la pizza fue al psicólogo? Porque tenía un agujero en su autoestima.","1"
"¿Por qué los tacos son malos para los dentistas? Porque siempre están a la vista de su dinero.","1"
"""Entonces, ¿sabes por qué la biblioteca decidió exiliar a los libros de cocina? ¡Porque siempre estaban mezclando ingredientes!"".","2"
"¿Por qué los árboles no pueden ir a la escuela? Porque no hay clases para ellos en el bosque.","1"
"¿Por qué el lápiz se fue al médico? Porque tenía un ""borrador"" de salud.","2"
"Un hombre le dice a su computadora: ""¿Por qué siempre me tocas los nervios?"". La computadora responde: ""Bueno, yo estoy conectada"".","2"
"¿Por qué el smartphone no puede dormir? ¡Porque siempre está conectado a la red!","2"
"¿Por qué los árboles no crecen en el acuario? Porque allí solo hay peces que quieran hacerlo.","1"
"¿Por qué la salsa ibérica es tan loca? ¡Porque tiene un sabor muy español!","1"
"¿Por qué la computadora decidió ir al dentista? Porque tenía un problema de ""formato"" en sus dientes y estaba con un dolor de ""soporte"".","1"
"¿Por qué la pizza iba a terapia de pareja? Porque estaba caliente con su acompañante pero tenía problemas para compartir el queso.","1"
"¿Por qué la vaca se fue al médico? Porque tenía un gordo problema de digestión.","1"
"¿Por qué la oveja se fue de la feria? Porque pagó el billete de ida y vuelta.","2"
"¿Por qué la computadora no pudo unirse al club? ¡No tiene interface social!","1"
"¿Por qué la vaca fue al psicólogo? ¡Estaba derritiendo!","1"
"¿Por qué el curry está triste? Porque siempre tiene una pata de mala suerte.","1"
"¿Por qué no podía el huevo entrar en la película? ¡Porque estaba sentado en el último asiento y decidió dejarla correr!","1"
"¿Por qué los melones no pueden viajar? ¡Pues porque siempre están vacíos!","1"
"¿Por qué la oveja fue al médico? Tenía ganas de ser lanuda.","1"
"¿Por qué el astronauta no quería ir al planeta Marte? ¡Pues porque allí había demasiado ""desechable"" espacial y quería mantener su peso bajo control!","1"
